CITATION,INSTRUMENT,Neutral Citation
"['[2021] IECA 305', '[2013] IEHC 230', '[2021] IEHC 212', '[2004] ECR I-1829', '[2005] ECR.', '[2016] IEHC 709', '[2012] IEHC 425', '[1982] IR 337', '[2003] ECR  I-1877', '[2007] ECR I-8189', '[1999] ECR I-07671', '[2003] ECR I-6413', '[2003] ECR I-6319', '[1994] Env.', '[2002] ECR I-5553', '[2003] ECR I-1091', '[2005] ECR I-1', '[1994] 1 IR 329', '[2018] IECA 35']","['Remedies Regulations', 'EU Remedies Directive', '2021 Framework', 'Official Languages Act 2003', '2016 Framework', 'Regulations 8(1)(a)', 'Council Directive 89/665', 'Remedies Directive', 'European Communities (Public Authorities’ Contracts) (Review Procedures) Regulations 2010', 'European Communities (Public Authorities’ Contracts) (Review Procedures) (Amendment) Regulations 2015', 'European Communities (Public Authorities’ Contracts) (Review Procedures) (Amendment) Regulations 2017', 'Remedies Directives', 'European Communities Act 1972', 'Remedies Regulation', 'Remedies Directive and Remedies Regulations', 'Remedies Directive/', 'Directive 89/665', '] Directive', 'Remedies Directives and Regulation 4', 'Bundesvergabegesetz (Federal Public Procurement Law)', 'Italian Code of Civil Procedure', 'CJEU)', 'Directive 92/13']",2022_IECA_131
"['[2012-11270-P]', '[1996] 2 IR 459', '[2016] IECA 206', '[2015] IECA 74', '[2008] IESC 4', '[2017] IEHC 346', '[2017] IECA 178', '[2019] IEHC 289', '[2021] IECA 287', '[2020] IESC 67']",[],2022_IEHC_355
"['[1933] I.R. 750', '[1976] I.R. 101', '[2017] IEHC 511', '[1962] 2 1 W.L.R. 1325', '[2021] IEHC 485', '[1995] 2 I.R. 217', '[2020] IESC 60', '[1951] Ch.', '[1953] Ch.']","['Taxes Consolidation Act', 'Stamp Duties Consolidation Act', 'Tax Appeals Commission  8', 'Companies (Amendment) Act', 'Land and Conveyancing Law Reform Act', 'Statute of Frauds', 'Finance (Tax Appeals) Act', 'Tax Appeals Commission  59', 'Acts  63', 'Stamp Act', 'Act of 1891', 'Stamp Duty Act']",2022_IECA_127
"['[1990] 2 IR 17', '[1999] 2 IR 321', '[1989] ILRM 639', '[1998] 1 IR 539', '[2002] 1 IR 84', '[2001] 3 IR 513', '[2001] IESC 63', '[1996] 2 IR 20', '[2005] IEHC 296', '[2007] IEHC 170', '[2001] IESC 64', '[2014] IEHC 446']","['2004 Act', 'Education Act 1998', '1998 Act', 'Special Educational Needs Act 2004', 'Disability Act 2005', 'United Nations Convention', 'Spring of 2022']",2022_IEHC_379
"['[2010] IEHC 133', '[1986] IR 642', '[1984] EUECJ R-14/83', '[2017] IESC 35', '[2018] 1 IR 246']","['European Communities (Reception Conditions) Regulations', 'Council Directive 2013/33', 'European Communities (Reception Conditions) Regulations 2018', 'Directive 2013/33', '2013 Directive', '2018 Regulations', 'International Protection Accommodation Service (IPAS)', 'Temporary Residence Certificate.', 'European Communities (Reception Conditions) Regulations 2019', 'International Protection Act', 'Directive 2003/86', 'European Communities (Reception Condition) Regulations', 'Reception Conditions Directive', 'European Communities (Reception Conditions) 2018', 'Directive 2013/32', 'Directive 2011/95', 'Directive 2005/85', 'International Protection Act 2015', '2015 Act', 'Reception Conditions Regulations', 'Directive 2000/78', 'Directive.', 'Appellant’s International Protection Application']",2022_IEHC_441
"['[2017] IEHC 741', '[2011] IEHC 24', '[2008] IEHC 190', '[2007] 2 IR 492', '[2012] IEHC 484', '[2020] IECA 154', '[2016] IEHC 360', '[2012] IESC 63', '[2021] IESCDET 120', '[2011] IEHC 526', '[2021] 1 ILRM 121', '[2006] 4 IR 88', '(Case C-135/08)', '[2010] E.C.R. I-1449', '(Case C-227/17)', '(Case C-192/99)', '[2001] E.C.R. I-1237', '[2019] 3 IR 317', '(Case C-118/20)', '[2019] 3 I.R. 317', '[2019] 2 I.L.R.M. 377', '[1948] IR 45', '[1993] 1 IR 231', '[2019] IESC 50', '[2020] 3 IR 480', '[1877] 2 App.', '[1986] 1 I.R. 196', '[2019] UKSC 13', '[2019] 2 W.L.R. 984', '[1956] 1 All ER 341', '[1956] 1 QB 702', '[2019] IESC 34', '[2018] IEHC 103', '[1980] AC 930', '[2019] IESC 54', '[1991] 1 I.R. 569', '[2000] 2 IR 514', '[1978] 1 W.L.R. 700', '[2018] 1 WLR 221', '[2015] 1 WLR 945', '[1981] QB 46', '[1994] QB 496', '[2008] INLR 683', '[2010] IESC 49', '[2011] 1 IR 152']","['Irish Nationality and Citizenship Act 1956', '1956 Act', 'Refugee Act 1996', 'Passport Act 2008', 'Citizenship and Nationality Act 1956', 'Irish Nationality and Citizenship Act 2004', 'Act of 2004', 'Immigration Act 2004', 'Refugee Act', '1996 Act', 'Immigration Act', '2004 Act', 'Irish Nationality and Citizenship Act', 'Bloomsbury Professional 2018', 'Constitution Act 2004', 'Act of 1996', 'Aliens Act', 'Act of 1935', '1999 Act', 'Interpretation Act 2005', '1951 Refugee Convention', 'Protection Regulations', 'Qualification Directive (Directive 2004/83', '1951 Convention', 'Refugee Convention', 'International Protection Act', '2015 Regulations', '2014 Act', 'Irish Nationality & Citizenship Act', 'Act of 1956', '2015 Act', 'Act of 2015', 'British Nationality Act', '1981 Act']",2022_IESC_25
"['2021/25 CA]  IN THE', '[2020] IEHC 104', '[2008] 1 IR 92']","['Personal Insolvency Acts 2012', 'Code of Conduct on Mortgage Arrears)', '2012 Act', 'Personal Insolvency (Amendment) Act 2015']",2022_IEHC_380
"['[2017] IEHC 287', '[1993] BCLC 676', '[2005] 1 IR 274', '[1998] 1 WLR 896', '[1985] A.C. 191', '[2017] IESC 31', '[2015] UKSC 36', '[1994] 1 IR 416', '[2015] 4 IR 37', '[2016] 1 IR 131', '[2015] IEHC 272']","['COMPANIES ACT 2014', 'Companies Act 2014', 'Superior Courts.', '2014 Act', 'RSC.', 'Companies Act', 'Companies (Amendment) Act', 'Statute of Limitations']",2022_IEHC_416
"['[2021] IECA 287', '[2020] IESC 67', '[1980] 2 N.S.W.L.R. 749', '[1994] 1 I.L.R.M. 512', '[2020] IEHC 372', '[2010] IESC 27']",[],2022_IEHC_359
"['[2004] 3 IR 87', '[2001] 10 JIC 0503', '[2019] IECA 260', '[2010] IECCA 116', '[1994] 2 I.L.R.M. 541', '[1998] 1 WLR 604', '[1978] AC 964', '[1972] 1 WLR 398', '[2001] 10 JIC 0503)', '[2015] IECA 290']","['Misuse of Drugs Act 1977', 'Act of 1977', 'Criminal Justice (Public Order) Act 1994', 'Misuse of Drugs Act']",2022_IECA_150
"['[2004] IESC\xa024', '[2004]\xa01\xa0I.R.\xa0512', '[2021]\xa0IECA\xa041', '[2004] 1 I.R. 512', '[1996]\xa02\xa0I.R.\xa0459', '[2022]\xa0IEHC\xa012', '[2021]\xa0IEHC\xa0199', '[2022]\xa0IEHC\xa0353', '[2020]\xa0IECA\xa0335', '[2020]\xa0IEHC\xa0293', '[2004]\xa0IESC\xa024']",['Legal Services Regulation Act 2015'],2022_IEHC_375
"['[2020] IESC 26', '[2020] IECA 69', '[1999] 1 IR 12', '[2002] 2 IR 744', '[1932] 2 IR 28', '[1981] IR 233', '[2011] IEHC 110', '[2017] IEHC 248', '441 US Supreme Court.', '84 Rule 2A', '[2019] IESC 86', '[1988] ILRM 177', '[2014] IESC 50', '[1998] 4 I.R. 76', '[1992] 1 I.R. 382', '[2010] IEHC 287', '[2001] 2 ILRM 401', '[2019] IECA 124', '[2012] 3 I.R. 453', '[2006] 4 I.R. 88', '[1984] I.R. 381', '[2006] 4 I.R. 1', '[2006] 1 ILRM 348', '[2020] 1 I.R. 123', '[1988] I.R. 235', '[1996] 1 IR 544', '[1965] IR 217', '[2002] 2 I.R. 743', '[1976] IR 325', '[1977] I.R. 129', '[1981] I.R. 233', '[2011] 1 IR 805', '[1965] I.R. 294', '[1999] 1 I.R. 12', '[1970] I.R. 317']","['Criminal Justice Act', '2006 Act', 'Criminal Justice (Public Order) Act', '1994 Act', 'Act of 2006', 'Act (s. 118', 'Domestic Violence Act', 'Sex Offenders Act', 'Criminal Law (Rape) Act', 'Criminal Law (Jurisdiction) Bill', 'Vagrancy Act', 'Domestic Violence Act 1996', '1996 Act', '1997 Act']",2022_IEHC_322
"['[2022 No.', '[1999] 2 I.R. 534', '[2000] 4 I.R. 54']","['Health and Social Care Professionals Act 2005', 'Nurses Act']",2022_IEHC_288
