CITATION,INSTRUMENT,Neutral Citation
[],"['REGISTRATION OF TITLE ACT 1964', 'Registration of Title Act 1964', 'Land and Conveyancing Law Reform Act 2009', 'Land and Conveyancing Law Reform Act 2013', '2009 Act', '2013 Act', 'Conveyancing Act 1881', 'Act of 1964', 'Local Registration of Title (Ireland) Act 1891', '1964 Act', 'Land Registration Rules 2012', 'Land Registration Rules', 'Plenary Proceedings 2020', 'Statute of Frauds 1695', 'Land Registry Rules', '1881 Act', 'Conveyancing Act 1911']",2021_IEHC_786
"['[1996] 2 I.R. 459', '[2016] IECA 206', '[2015] IECA 74', '[2012] 3 IR 510', '[1994] IR 15', '[2014] IESC 21', '[2016] IESC 66']",[],2021_IEHC_769
"['[2020] IEHC 688', '[1955] IR 170', '[1939] 1 Ch 841', '[2013] IESC 39', '[2007] 3 IR 581', '[2008] IESC 21', '[1988] IR 51', '[2014] IESC 3', '[1964] AC 465', '[2012] IESC 26', '[2012] IESC 25', '[Application No.']","['Solicitors (Amendment) Act', 'Eire Continental test', 'Solicitors (Amendment) Act 1950', 'Solicitors (Amendment) Act 1994', 'Solicitors (Amendment) Act 2002', 'Principal Act', 'Solicitors (Amendment) Act 1960', 'Solicitors Act 1954', 'Regulation EC', 'Criminal Justice (Theft and Fraud Offences) Act 2001', 'Social Welfare Regulations', '2001 Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'ECHR']",2021_IECA_327
['[2015] IECA 350'],['Criminal Justice (Money Laundering and Terrorist Financing) Act 2010'],2021_IECA_331
"['[2020] IEHC 257', '[2021] IECA 3', '[2019] IEHC 802', '[2019] IEHC 923', '[2020] IEHC 172', '[2020] IEHC 465', '[2020] IEHC 551', '[2021] IEHC 218', '[2021] IEHC 386', '[2021] IEHC 335', '[1998] 1 IR 596', '[2004] 4 IR 438', '[2006] IEHC 318', '[2006] IESC 29', '[2005] IEHC 526', '[2010] 4 I.R. 417', '[2009] 4 IR 438', '[2010] 4 IR 417', '[2016] IECA 206']","['Brussels Regulation', 'Hague Convention', 'Statute of Limitations 1957']",2021_IEHC_790
"['[2021]\xa0IECA\xa0114', '[2014]\xa0IEHC\xa079', '[2020]\xa0IEHC\xa0226']","['Legal Services Regulation Act 2015', 'Teaching Council (Registration) Regulations 2016', 'Workplace Relations Act 2015']",2021_IEHC_753
"['[2007] IEHC 280', '[2004] IEHC 423', '[2009] IEHC 485']","['Criminal Law Rape Amendment Act 1990', 'Criminal Law Amendment Act 1990', 'Petty Sessions (Ireland) Act 1851', 'Offences Against the Person Act 1861', '1990 Act']",2021_IEHC_765
"['[1990] 1 I.R. 469', '[2020] IECA 104', '[2013] IESC 6', '[2009] 1 I.R. 737', '[2019] IESC 57', '[2015] IESC 11', '[1882] 11 Q.B.D. 55', '[1967] IR 97', '[2004] 2 I.R. 20', '[2001] IEHC 59', '[2010] IEHC 3', '[2013] IESC 22', '[2004] 1 ILRM 161', '[2003] 4 I.R. 264', '[2018] IEHC 128', '[2002] IEHC 103', '[2009] IEHC 568', '[2005] 1 I.R. 274', '[1989] ILRM 452']","['Landlord and Tenant (Amendment) Act 1980', '1980 Act', 'Circuit Court Rules', '2016 Lease.', '2010 Renunciation', '2010 Lease.', 'Courts Act 1936', 'Decision  25']",2021_IEHC_773
"['[2021 No.', '(No.2)', '[2007] 2 IR 265', '[2004] IESC 1', '[2004] 1 I.R. 40', '[2009] IESC 48', '[2010] IEHC 315', '[2006] IEHC 95']","['European Arrest Warrant Act', 'Act of 2003', 'Road Traffic Regulations', 'European Arrest Warrant Act 2003', 'Theft and Fraud Offences) Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'Road Traffic Act', 'Act of 1961']",2021_IEHC_837
"['[2020] IEHC 527', '[2017] IESC 31', '[2019] IESC 65', '[2021] EWHC 1013 (BNY)', '(2015) LLP v. Picturehouse Cinemas Ltd. & Ors.', '[1981] A.C. 675', '[1956] AC 696', '[1962] A.C. 93', '[1995] 1 ILRM 1', '[1993] 2 EGLR 77']",['Covid-19 Regulations'],2021_IEHC_749
