CITATION,INSTRUMENT,Neutral Citation
['[2011] IESC 1'],"['European Arrest Warrant Act', 'Act of 2003', 'Theft and Fraud Offences Act 2001', 'Framework Decision', 'Criminal Code', 'Act of 2005']",2022_IEHC_314
"['[2021] IEHC 263', '[2020] EWHC 2448 (Comm)', '[2021] UKSC 1', '[2001] IEHC 78', '[1987] 1 Lloyd’s Rep. 32', '[1986] ILRM 419', '[1988] ILRM 373', '[2005] 1 I.R. 274', '[2021] IEHC 608', '[2009] IESC 2', '[2010] IEHC 116', '[1936] I.R. 596', '[1955] I.R. 268', '[1918] AC 350', '[2021] IEHC 279', '[2022] EWHC 409 (Comm.)']","['Infectious Diseases (Amendment) Regulations', 'Infectious Diseases Regulations', 'Health Act', 'Public Interest) Act', '2020 Act', 'Health Act 1947', 'Restriction Regulations', 'Amendment) Regulations', 'COVID-19 Regulations', 'Marine Insurance Act', '1906 Act', 'Infections Diseases Regulations 1981', '1981 Regulations', 'Infectious Diseases (Amendment) (No.']",2022_IEHC_178
"['[2013]\xa04\xa0I.R.\xa0274', '[2016]\xa0IEHC\xa0156']","['TAXI REGULATION ACT 2013', 'Taxi Regulation Act 2013', 'Act of 2003', 'Act of 1961', 'Taxi Regulation (Small Public Service Vehicle) Regulations 2015', 'Principal Act', 'Interpretation Act 2005', '2015 Regulations', 'EU Citizenship Rights Directive (Directive 2004/38', 'European Communities (Free Movement of Persons) Regulations 2015', 'Immigration Act 2004', 'General Data Protection Regulation', 'EU Citizenship Rights Directive', 'EU Citizenship Directive']",2022_IEHC_206
"['[2019] IESC 81', '[1998] 1 IR 134', '[2014] 2 IR 38', '[2016] 3 IR 292', '[1992] 2 IR 503', '(1868) 2 H.L. 330', '[1973] IR 121', '[1973] I.R. 121', '[1994] 3 IR 1', '[1984] IR 151', '[1998] 1 I.R. 134', '[2008] IEHC 249', '[2009] 1 I.R. 326', '(No.2)', '[2013] IEHC 104', '[2013] 1 I.R. 510', ', 1957.']","['Statute of Limitations', 'Statute of Limitations 1957', 'Statute of Limitations (Amendment) Act', 'European Convention', 'Human Rights Act 2003', 'Convention', '1957 Act', 'Offences Against the State Act', '1939 Act', 'Act of 1957', 'Civil Liability Act 1961', 'ECHR', 'Courts (Supplemental Provisions) Act 1961', '1961 Act']",2022_IEHC_210
[],"['Legal Services Regulation Act 2015', '2015 Act', 'White Book 1997']",2022_IEHC_247
"['[2021] IEHC 474', '[2021] IEHC 682', '[2021] IEHC 720', '[2021] IEHC 456', '[2020] Irish Judicial Studies Journal Vol 4(2) 43', '[2015] IEHC 756', '[2021] IECA 305', '[2021] IEHC 643', '[1999] 1 WLR 347']","['Social Welfare Consolidation Act 2005', '2005 Act', '2015 Act', 'Social Welfare Pensions Act 2013', 'Act of 2003', 'Civil Liability (Amendment) Act 1964', 'Courts Service Annual Report 2020', 'Act of 2005']",2022_IEHC_181
"['[2022] IECA 99  Ní', '[2020] IEHC 51', '[2015] IESC 13', '[2015] 2 IR 509', '[2017] IESC 29', '[2018] 2 IR 417', '[2001] 12 ELR 201', '[2004] 15 E.L.R. 116', '[2004] 15 ELR 310']","['Equal Status Acts 2000', 'Civil Legal Aid Act', 'Ombudsman Act', 'Equal Status Acts', 'Equal Status Act', 'Ombudsman.', 'Equal Status', 'Equal Status Acts 2015', 'Equality Act', 'Racial Equality Directive (Directive 2000/43', 'Racial Equality Directive', 'Constitution of The Republic of Ireland.', 'Presiding Judge’s Judgments', 'Council Directive 2000/43', 'Ombudsman (Amendment) Act 2012', 'European Convention']",2022_IECA_99
"['[2022] IECA 76  Court', '[2019] IESC 57:-', '(1882) 11 Q.B.D. 55', '[1970] A.C. 583', '[2015] IEHC 450', '[2015] 1 I.R. 671', '[1906] 2 K.B. 217', '[2019] IECA 57', '[2015] IEHC 296', '9 July 2019', '[1990] 1 I.R. 545', '[2019] IESC 48', '[1999] IESC 26', '[1999] 2 JIC 1101', '[2017] IECA 258', '[2004] 2 IR 20', '[2000] 3 IR 344', '[2003] 4 IR 264', '[2006] 3 IR 566', '[1999] 4 IR 151', '[2020] IESC 9', '[2019] IESC 57', '3 89']","['Building Regulations 1997', 'Building Regulations', 'Statute of Limitations of 1957', 'Statute of Limitations']",2022_IECA_76
['[2008] EWHC 413'],"['HEALTH SERVICE EXECUTIVE', 'Legal Services Regulation Act 2015', '2015 Act', 'convention', 'Mediation Act 2017']",2022_IEHC_174
"['[2020 No.', '[1984] I.R. 525', '[2008] IEHC 195']","['Garda Síochána Act', 'Garda Code']",2022_IEHC_230
"['(No.2)', '[2000] 4 IR 159', '[2006] IEHC 323', '[2016] IESC 18', '[2015] 1 IR 516', '[2018] 2 IR 357', '[2001] 3 IR 439']","['Data Protection Acts 1988', 'Data Protection Act 1988']",2022_IECA_95
"['[2021] IECA 17', '[2001] 1 IR 331', '[2003] 2 IR 314', '[2018] IEHC 798', '[2011] IEHC 269', '[1983] 1 WLR 190']","['Courts and Courts Officers Act', 'Superior Courts (No.', '1995 Act']",2022_IECA_83
"['[2005] 2 IR 383', '[2006] IEHC 156']","['Civil Liability Act', '2004 Act']",2022_IEHC_334
"['[1996] 2 IR 459', '[2019] IECA 43', '[2002] 3 IR 510', '[2016] IECA 206', '[2016] IECA 19', '[2010] IEHC 95', '[2010] IESC 27', '[2004] 3 IR 556', '[1984] I.R. 151', '[2021] IEHC 5', '[2015] IECA 74', '[2008] IESC 4', '[2008] 4 IR 31', '[1984] IR 151', '[2012] IESC 50', '[2011] IEHC 11', '[2010] I.E.S.C. 27', '[2004] 2 ILRM 321']","['Respondent’s 2021', 'Statute of Limitations']",2022_IEHC_271
"['[2022]\xa0IEHC\xa0227', '[2021]\xa0IECA\xa029', '[2020] IECA\xa0242']","['Civil Liability and Courts Act 2004', 'Judicial Council Act 2019']",2022_IEHC_226
"['[2022]\xa0IEHC\xa0226', '[1965]\xa0I.R.\xa0642', '[2000]\xa04\xa0I.R.\xa0587', '[2001]\xa02\xa0I.L.R.M.\xa0321', '[2010]\xa0IEHC\xa012', '[2000]\xa01\xa0I.L.R.M.\xa0330']","['Social Welfare Consolidation Act 2005', 'Social Welfare and Pensions Act 2013']",2022_IEHC_227
