CITATION,INSTRUMENT,Neutral Citation
[],[],2022_IEHC_197
"['[2010] 4 IR 554', '[2012] 4 IR 681', '[2008] IEHC 93', '[2011] IEHC 538', '[2020] IEHC 308', '[2021] IEHC 214', '[2017] IEHC 278', '[2021] IEHC 205', '[2021] IEHC 298', '[2021] IEHC 695']","['Occupier’s Liability Act', 'Occupiers Liability Act', 'Discussion Application']",2022_IEHC_139
"['2021 / 201', '[2011] IEHC 151', '[2004] 2 I.R. 607']","['INTERNATIONAL PROTECTION ACT 2015', 'International Protection Act', '2015 Act']",2022_IEHC_115
"['[2018] IEHC 326', '[2019] IECA 48', '[2020] IECA 6', '[2019] IECA 266', '[2014] IEHC 65', '[2019] IESC 94', '[2015] IESC 32', '[2015] IEHC 405']",['Larceny Act 1916'],2022_IEHC_154
"['[2019] IEHC 752', '[2014] IEHC 527', '[2014] 2 I.R. 399', '[2016] IECA 104', '[2021] IECA 292', '[2009] 3 I.R. 736', '[2018] IESC 44', '[2016] IEHC 67']","['Personal Insolvency Acts 2012', 'Act of 2012', 'Bankruptcy Act 1988', 'Bankruptcy Act', 'Personal Insolvency Act 2012', 'Act of 1988', 'Judicature Act', '2012 Act', 'Irish Bankrupt and Insolvent Act 1857', '1857 Act', 'Companies Act 2014', '1988 Act', 'Act of 1857', 'Judicature] Act', 'Legal Services Regulation Act 2015']",2022_IECA_60
['12 Rule 1'],['Statute of Limitations'],2022_IEHC_123
"['[2008] QB 783', '[1981] IR 306', '19 r. 27', '[2019] IECA 18', '[2016] 2 IR 283', '[2020] IEHC 95', '[2008] QB 783   S. 26', '[1999] 1 All ER 609', '[2005] Q.B. 946', '[2019] IR 298', '[2011] 1 W.L.R. 153', '[2019] IESC 57', '(1882) 11 Q.B.D. 55', '[2003] IESC 62', '[2003] 4 I.R. 264', '[1882] 8 Q.B.D. 491']","['Defamation Act 2009', '2009 Act', 'Defamation Act', 'English Defamation Act', 'Act of 1957', 'Defamation Act 2013']",2022_IEHC_135
"['[2019] 2 I.R. 750', '[1986] I.R. 13', '[2014] IESC 78', '[2015] 2 I.R. 178', '[1967] I.R. 50', '[2017] IESC 59', '[2018] 2 I.R. 79', '[1986] I.R. 45']","['Defamation Act 2009', 'Act of 2009', 'Courts of Justice Act 1924', 'Courts (Supplemental Provisions) Act 1961', 'Act of 1924', 'Courts Act 1988', '2009 Act']",2022_IESC_13
"['[1968] IR 252', '[1968] I.R. 252', '[2017] IECA 77', '[1981] 1 I.R. 158', '[1897] A.C. 22', '[2014] 2 I.R. 125', '[1990] B.C.C. 627', '[1994] 1 B.C.L.C. 445', '[1997] 81 B.L.R. 49', '[2017] IECA 129', '[1982] AC 679', '[1980] Q.B. 629', '[2017] IECA 56', '[2018] IESC 49', '[2011] IEHC 191', '[2013] IEHC 294', '[2014] IEHC 314', '[2012] Q.B. 640', '[2015] IECA 97', '[2011] IEHC 357', '[2007] UKPC 12', '[2007] 5 L.R.C. 179', '[2016] IEHC 697', '[2020] IEHC 13', '[2004] 1 I.R. 576', '[1964] 2 W.L.R. 371', '[2019] IEHC 187', '1 I.R. 293', '[2017] IECA 295', '[2016] IECA 273', '[1954] I.R. 25', '[1994] 1 I.R. 293', '[2021] IECA 265', '[2016] 2 I.R. 438', '[2013] IESC 12', '[2015] 2 I.R. 718', '[2008] 2 I.R. 775']","['European Convention', 'Civil Procedure Rules', 'Judicature (Ireland) Act', '1877 Act', 'Trade Agreement Act', 'Companies Act', 'Legal Services Regulation Act', '2015 Act']",2022_IECA_56
"['[2014] 1 I.R. 749', '[2001] 4 IR 607', '[2003] 4 IR 1', '[2014] 1 IR 749', '[2007] 1 ILRM and Allied Irish Banks plc.', '[2019] IEHC 189', '[2017] IEHC 350', '[2017] IECA 283', '[2010] IEHC 253']","['Finance Act 2017', 'Taxes Consolidation Act 1997', 'Companies Act 2014', 'Companies Act', 'Taxes Consolidation Act', 'Powers of Attorney Act 1996']",2022_IEHC_158
